barcode,ENSG00000270195.1,SLBP
TCGA-44-6146-01,8719.46009103,486.462
TCGA-78-7163-01,9789.52748981,1219.21
TCGA-44-6146-01,2309.30949048,486.462
TCGA-91-6829-01,10572.4031204,1426.95
TCGA-78-7161-01,11456.1079844,654.022
TCGA-44-7670-01,14835.7091615,1245.54
TCGA-55-8208-01,13483.863186700002,1083.55
TCGA-99-8033-01,33496.355273,1176.17
TCGA-05-4244-01,34241.3281128,1473.43
TCGA-86-6562-01,2861.87414837,954.576
TCGA-44-8120-01,7249.84544236,1744.57
TCGA-38-4632-01,6318.66280245,1702.92
TCGA-64-1676-01,12555.752369700003,2664.06
TCGA-64-5815-01,4310.74431467,648.075
TCGA-64-5779-01,27264.2010135,944.354
TCGA-78-7633-01,1931.95350638,886.469000000001
TCGA-05-5428-01,9103.41076353,2220.19
TCGA-55-7725-01,13808.2258363,1305.67
TCGA-50-5066-02,8188.02572882,1182.31
TCGA-44-7671-01,2508.18766511,960.693
TCGA-49-AAR2-01,80987.2425047,469.591
TCGA-86-6851-01,18122.2634494,754.201
TCGA-50-5072-01,7327.97301502,1182.45
TCGA-97-8175-01,23727.1327012,1501.22
TCGA-69-7765-01,5407.79402176,1181.02
TCGA-35-4122-01,1330.71802883,2477.39
TCGA-44-6779-01,3515.64697279,970.711
TCGA-62-A471-01,55143.877352,1316.62
TCGA-55-1594-01,21680.533805000006,2130.5
TCGA-78-7537-01,10487.0195724,774.964
TCGA-55-7727-01,3667.3023324,1600.0
TCGA-55-7914-01,12445.4926315,1218.39
TCGA-75-7030-01,7235.29667128,686.458
TCGA-MP-A4T6-01,38983.0022645,984.081
TCGA-55-8204-01,6645.9517463,755.365
TCGA-05-4434-01,18788.5502022,1334.39
TCGA-38-4625-01,9342.13284396,1706.28
TCGA-91-A4BC-01,100073.440993,1122.06
TCGA-55-6980-01,4605.29194097,900.973
TCGA-55-7227-01,23889.596157900003,1199.72
TCGA-44-5645-01,11450.3494767,990.82
TCGA-44-2656-01,22938.7110411,1399.27
TCGA-95-7562-01,2868.51681904,1938.51
TCGA-49-AARR-01,33859.2483822,564.358
TCGA-49-6742-01,7313.09556022,765.846
TCGA-35-4123-01,21299.475227000006,1982.58
TCGA-NJ-A4YG-01,32143.860971099995,701.501
TCGA-78-7160-01,6513.97192695,1193.69
TCGA-44-7669-01,27677.338337700006,2040.38
TCGA-73-4677-01,3717.59926362,1052.98
TCGA-55-8506-01,14386.3810945,1153.72
TCGA-78-7149-01,10590.7372,1132.62
TCGA-50-5933-01,9726.34578757,1575.69
TCGA-64-1678-01,33013.1900392,2360.1
TCGA-91-8496-01,7384.24665916,1211.95
TCGA-05-4398-01,18814.8723881,1094.39
TCGA-97-7553-01,6703.6709302,911.237
TCGA-05-4426-01,20527.6832335,1277.81
TCGA-91-7771-01,8473.78933383,654.857
TCGA-05-4418-01,13734.0227535,1334.77
TCGA-55-A4DG-01,16086.7345248,581.224
TCGA-86-8074-01,10662.4786123,1207.65
TCGA-55-A491-01,32961.7921326,732.133
TCGA-44-6146-01,4605.29194097,486.462
TCGA-69-7764-01,22388.7794326,1246.02
TCGA-55-8203-01,11614.2152575,975.028
TCGA-64-5778-01,145068.656395,2344.59
TCGA-50-5049-01,6005.45595674,1235.49
TCGA-44-6777-01,4262.84715562,889.532
TCGA-86-8278-01,20845.519945,1034.81
TCGA-MP-A4TK-01,34303.8253053,942.546
TCGA-L9-A5IP-01,16889.117700799998,1080.19
TCGA-86-8073-01,12614.3784508,2137.14
TCGA-44-4112-01,13423.744285,2075.9
TCGA-49-AAQV-01,37737.7142718,1251.76
TCGA-78-7150-01,7299.71631477,1980.49
TCGA-MP-A4T4-01,25734.1903227,992.267
TCGA-99-7458-01,9580.19182876,1006.7
