barcode,ENSG00000270195.1,SLBP
TCGA-77-A5G6-01,31887.9211158,1862.41
TCGA-O2-A52N-01,28149.226727900004,893.989
TCGA-56-8622-01,12849.4941957,854.418
TCGA-92-7341-01,10373.5807375,2234.15
TCGA-56-7223-01,18856.9526182,981.689
TCGA-77-8146-01,32103.0585226,815.324
TCGA-18-3407-01,11234.5100497,819.696
TCGA-34-5241-01,5687.03668423,1276.04
TCGA-58-A46M-01,30254.6262965,1543.45
TCGA-22-4594-01,17156.3988387,1119.37
TCGA-63-A5MB-01,33818.7549993,1389.5
TCGA-22-5485-01,4809.22008878,930.213000000001
TCGA-NC-A5HD-01,57753.4785364,1411.06
TCGA-NC-A5HE-01,92411.43613010002,1853.88
TCGA-85-8276-01,30041.1598822,976.255000000001
TCGA-22-5477-01,9731.13522126,1810.5
TCGA-22-A5C4-01,62120.0488706,1818.44
TCGA-60-2697-01,12960.6378485,843.984
TCGA-56-7730-01,43053.6932176,1339.58
TCGA-43-A56U-01,29031.8978673,907.748000000001
TCGA-22-5492-01,9609.88665139,1519.37
TCGA-85-A4CL-01,73412.9987673,1047.36
TCGA-77-8156-01,38252.9316396,1289.99
TCGA-60-2708-01,6528.95904948,1006.95
TCGA-77-6843-01,10025.7186066,1057.7
TCGA-77-8145-01,17109.8839522,718.987
TCGA-56-7579-01,6911.92678887,978.91
TCGA-60-2720-01,7448.52325578,1095.53
TCGA-98-A53I-01,47116.3855869,900.816
TCGA-56-A5DS-01,21177.1916805,1302.65
TCGA-94-A5I6-01,24297.6209666,1162.56
TCGA-37-4132-01,16297.284956600002,2418.64
TCGA-22-4609-01,10308.3661841,864.361
TCGA-85-7710-01,28009.6859301,2109.63
TCGA-39-5028-01,8070.43878976,1209.76
TCGA-90-7964-01,21087.9359901,842.503
TCGA-90-A4ED-01,88044.9722171,1141.87
TCGA-46-3765-01,12167.8341383,2060.65
TCGA-18-3409-01,11634.987182100003,1705.13
TCGA-85-8664-01,21640.8132212,1124.38
TCGA-63-A5M9-01,21318.284835,1620.31
TCGA-33-A5GW-01,13861.253888999998,1527.37
TCGA-77-7465-01,5583.43607702,1692.42
TCGA-60-2698-01,12386.9853484,1349.58
TCGA-58-A46K-01,26435.6775905,1251.1
TCGA-63-7023-01,4663.96836663,1212.37
TCGA-22-1016-01,21215.5121224,1311.14
TCGA-XC-AA0X-01,24864.3379408,964.113
TCGA-58-A46L-01,29887.089204400007,1129.42
TCGA-85-A4QR-01,8940.36419468,1139.89
TCGA-O2-A52W-01,7409.892341,1209.03
TCGA-63-A5MI-01,23357.5840014,1622.95
TCGA-34-5234-01,5871.45150822,1525.56
TCGA-77-8143-01,8473.96072924,1727.71
TCGA-58-8390-01,25203.3872257,1688.56
TCGA-56-A4ZJ-01,38727.3635102,1242.74
TCGA-56-7221-01,3237.60543464,1241.6
TCGA-77-8009-01,14823.788947,1305.09
TCGA-63-A5MG-01,32433.367448400004,2073.99
TCGA-63-7021-01,12954.626421,750.025
TCGA-18-4721-01,5136.48936361,1835.53
TCGA-66-2787-01,23092.9084095,1694.16
TCGA-60-2714-01,12910.6849942,2048.02
TCGA-NC-A5HN-01,24187.8330362,1329.81
TCGA-68-A59I-01,15236.2601896,1144.91
TCGA-85-A4JC-01,26205.67226,1700.54
TCGA-92-8065-01,23469.3189805,664.23
TCGA-77-A5GF-01,18783.0699425,1178.54
TCGA-34-8454-01,16937.386979299998,1506.19
TCGA-94-7033-01,73694.10812919999,2358.45
TCGA-56-A4BY-01,37492.9122571,1362.26
TCGA-18-3415-01,9057.25999771,1372.83
TCGA-22-5481-01,70144.9857887,2578.95
TCGA-77-7140-01,5595.96520734,1284.51
TCGA-39-5035-01,10259.5951153,1184.2
TCGA-77-A5GB-01,35422.8066198,1506.6
